Start,End,Open,High,Low,Close,Volume,Market Cap
2023-11-10,2023-11-11,45.1923,57.3392,45.1923,56.6532,7458849424.1777,21058668022.801395
2023-11-09,2023-11-10,43.1552,48.6217,42.6535,45.4199,4374041398.013937,19008613284.54704
2023-11-08,2023-11-09,42.9318,43.7895,42.4154,43.2328,3629847638.0522647,18177196588.937283
2023-11-07,2023-11-08,41.9471,44.4907,40.3766,43.1654,3120597524.8745646,17653879303.42857
2023-11-06,2023-11-07,41.1265,42.1849,39.8359,42.1849,2157052689.923345,17045957061.045296
2023-11-05,2023-11-06,42.5865,42.8409,40.5078,41.2917,2554516702.7874565,17445794426.083622
2023-11-04,2023-11-05,39.6322,42.6351,39.218,42.294,3835897045.0069685,17407439756.36934
2023-11-03,2023-11-04,39.9542,40.0182,38.2072,39.6313,6060132165.651568,16431041360.790941
2023-11-02,2023-11-03,41.6975,44.4727,39.1142,40.1625,9104262176.707317,17592482698.83972
2023-11-01,2023-11-02,38.1877,46.2009,37.9303,41.3477,5520823788.191638,16808491298.710802
2023-10-31,2023-11-01,34.9702,38.4526,34.92,38.433,3182547699.268293,15235569861.86411
2023-10-30,2023-10-31,32.9766,35.1828,32.4251,34.9907,2106655894.5888503,14300517532.630663
2023-10-29,2023-10-30,31.6208,33.1178,31.4878,32.8362,1172352247.1707318,13570283943.439024
2023-10-28,2023-10-29,31.8128,32.5335,31.5335,31.6946,1727652083.1986063,13427660109.780487
2023-10-27,2023-10-28,32.7597,33.2791,31.5512,31.7666,2596858394.3205576,13540795093.445993
2023-10-26,2023-10-27,32.3654,33.2078,30.8658,32.7131,3098087535.3157897,13436667995.43158
2023-10-25,2023-10-26,30.2286,33.6875,30.0182,32.5141,3924500260.2891984,13434248442.219513
2023-10-24,2023-10-25,31.7856,32.4595,29.6884,30.1562,4742319287.989547,13029938612.250872
2023-10-23,2023-10-24,29.0618,32.5008,28.8196,31.8168,3234538905.034843,12499411474.56446
2023-10-22,2023-10-23,29.2576,29.9614,28.2303,29.1105,3075703846.923345,12086263069.89547
2023-10-21,2023-10-22,27.0186,30.186,26.7131,29.4251,2993564953.6062717,11853619605.89547
2023-10-20,2023-10-21,25.0624,27.3645,24.7829,27.0829,2883343886.620209,11046962861.74216
2023-10-19,2023-10-20,23.4509,25.3955,23.2088,25.0101,1413133444.0557492,10114999867.125435
2023-10-18,2023-10-19,24.0048,24.3155,23.4944,23.4991,1361667079.5609756,9951707630.665504
2023-10-17,2023-10-18,23.9834,24.5281,23.6698,24.0336,2113806493.2578397,10031552998.954704
2023-10-16,2023-10-17,22.0107,24.4261,21.988,24.0509,1298075274.71777,9623185976.940767
2023-10-15,2023-10-16,22.0108,22.1943,21.7901,22.007,496496831.5689046,9151474969.777386
2023-10-14,2023-10-15,21.8805,22.2526,21.8664,22.1139,835146387.7804878,9178553700.43554
2023-10-13,2023-10-14,21.2915,22.2318,21.1662,21.9171,821583996.2369338,8961952835.317074
2023-10-12,2023-10-13,21.986,22.0228,21.1668,21.3695,971626514.4459931,8950714752.547039
2023-10-11,2023-10-12,22.1646,22.4137,21.7635,22.0577,998636892.2996516,9172721984.324041
2023-10-10,2023-10-11,22.1295,22.4983,21.7841,22.184,1063905148.7142857,9181635575.348433
2023-10-09,2023-10-10,23.2504,23.4048,21.8513,22.2106,963229516.3344948,9388085689.111498
2023-10-08,2023-10-09,23.2938,23.6244,23.1907,23.3353,786615404.5714285,9704207809.198606
2023-10-07,2023-10-08,23.4405,23.9713,23.2049,23.3793,1291129949.9651568,9743977160.264809
2023-10-06,2023-10-07,22.7754,23.7614,22.7754,23.4933,1452731486.7979095,9641278675.975609
2023-10-05,2023-10-06,23.0681,23.7196,22.6412,22.7363,1469037798.3832753,9552686678.68641
2023-10-04,2023-10-05,23.4915,23.7329,22.7459,23.1788,2121799310.3832753,9594615494.076654
2023-10-03,2023-10-04,23.3964,24.6617,23.3404,23.5548,2317618398.1463413,9865751842.794426
2023-10-02,2023-10-03,23.8543,24.647,23.0289,23.4711,2463923899.4808364,9893931856.059233
2023-10-01,2023-10-02,21.3207,24.4252,21.1733,23.9407,1533251108.0940766,9241476879.487804
2023-09-30,2023-10-01,20.2909,21.8111,20.152,21.4624,813610607.0452962,8591184127.027874
2023-09-29,2023-09-30,19.9508,20.4555,19.8967,20.3761,877026153.738676,8356388073.940766
2023-09-28,2023-09-29,19.1329,20.0509,19.1329,20.037,755828255.9581882,8025147689.620209
2023-09-27,2023-09-28,19.0399,19.4925,18.8619,19.2102,1059528812.9651568,7874780634.56446
2023-09-26,2023-09-27,19.3753,19.5074,18.975,19.06,1287711455.1254356,7965453087.097561
2023-09-25,2023-09-26,19.3749,19.7264,19.2312,19.4247,1416948407.8327527,8045981293.494774
2023-09-24,2023-09-25,19.5296,19.6669,19.3174,19.3904,942880951.9860628,8073630455.498258
2023-09-23,2023-09-24,19.4624,19.5731,19.326,19.4927,1504337244.4494774,8027310059.250871
2023-09-22,2023-09-23,19.4786,19.7722,19.2338,19.4444,1891972513.7317073,8066120896.324041
2023-09-21,2023-09-22,20.248,20.2686,19.3636,19.461,2847611693.6864114,8143218109.097561
2023-09-20,2023-09-21,20.0293,20.4684,19.8113,20.284,3465812004.749129,8270571133.181185
2023-09-19,2023-09-20,19.7289,20.3682,19.6094,20.0348,4131856918.8432055,8212620146.195122
2023-09-18,2023-09-19,18.7994,20.0962,18.6073,19.6437,3507403937.416084,8005548550.965035
2023-09-17,2023-09-18,19.1095,19.1181,18.6996,18.7948,1209973563.630662,7797862180.327526
2023-09-16,2023-09-17,19.1687,19.4344,18.9188,19.1469,1838829542.292683,7865498838.442509
2023-09-15,2023-09-16,18.844,19.4209,18.6036,19.1686,1954708981.7526133,7799335894.031359
2023-09-14,2023-09-15,18.4488,19.2189,18.4488,18.8283,4026478154.083624,7757797207.052265
2023-09-13,2023-09-14,17.92,18.492,17.7243,18.4071,3413731104.933798,7454979867.41115
2023-09-12,2023-09-13,17.7086,18.667,17.5799,17.9489,4430194026.641115,7397212283.756098
2023-09-11,2023-09-12,18.2055,18.3888,17.4114,17.724,5061218011.857142,7347232918.041812
2023-09-10,2023-09-11,19.4675,19.4675,17.8583,18.2502,3014623353.58885,7590290794.61324
2023-09-09,2023-09-10,19.604,19.6058,19.4346,19.4906,1138215882.5296168,8018830189.8223
2023-09-08,2023-09-09,19.8882,20.2178,19.4356,19.6113,2380499235.1916375,8076020666.0209055
2023-09-07,2023-09-08,19.6262,19.9867,19.3847,19.8979,1832306089.7630663,8039739241.365853
2023-09-06,2023-09-07,20.2666,20.3543,19.2432,19.6539,2078530159.3449478,8082040393.101046
2023-09-05,2023-09-06,19.5053,20.5596,19.0818,20.2923,1648727978.5853658,8080161988.43554
2023-09-04,2023-09-05,19.5874,19.9365,19.2691,19.5248,1736373823.163763,8011822123.254355
2023-09-03,2023-09-04,19.5121,19.6505,19.2674,19.5972,1917587239.8118467,7963708307.95122
2023-09-02,2023-09-03,19.3221,19.6679,19.1678,19.4779,3698930627.6062717,7964504774.306621
2023-09-01,2023-09-02,19.7775,19.9175,19.0822,19.3578,3370457296.324042,7999832527.149826
2023-08-31,2023-09-01,20.8168,21.0118,19.6031,19.7403,1703280411.6167247,8325450884.2125435
2023-08-30,2023-08-31,21.7736,21.8953,20.6605,20.8594,2449237748.735192,8673292811.052265
2023-08-29,2023-08-30,20.5867,21.9595,20.14,21.7362,2496327853.142857,8516992126.432055
2023-08-28,2023-08-29,20.7594,20.7594,20.1781,20.5693,2506258269.2334495,8344325531.243902
2023-08-27,2023-08-28,20.305,20.8883,20.2644,20.8024,1599323892.6062717,8383004475.919861
2023-08-26,2023-08-27,20.3879,20.4092,20.2102,20.304,2480098726.738676,8275567868.219512
2023-08-25,2023-08-26,21.0283,21.0283,20.1642,20.3914,3577012086.3623695,8375501546.794425
2023-08-24,2023-08-25,21.7127,21.993,20.7633,21.0258,4275046907.641115,8731710045.212543
2023-08-23,2023-08-24,20.6303,21.7769,20.4727,21.6717,3982887077.020906,8529101716.344948
2023-08-22,2023-08-23,21.2058,21.2499,19.6102,20.5548,4353098779.379791,8469101137.763066
2023-08-21,2023-08-22,21.7472,21.7472,20.6395,21.1957,4820974903.456446,8671083879.445993
2023-08-20,2023-08-21,21.922,22.0319,21.6457,21.7684,982787376.6550523,8899475001.12892
2023-08-19,2023-08-20,21.3544,22.1726,21.3544,21.9103,1369984039.8919861,8839032668.95122
2023-08-18,2023-08-19,21.7533,22.1689,21.0836,21.3535,3741184181.12892,8776683243.738676
2023-08-17,2023-08-18,22.8625,23.3866,20.2419,21.7041,2905833303.344948,9293089174.268293
2023-08-16,2023-08-17,23.9157,23.9773,22.4098,22.8219,3543673494.898955,9446755675.00697
2023-08-15,2023-08-16,25.1569,25.2771,23.7452,23.8914,6783618497.12892,9988095843.926828
2023-08-14,2023-08-15,24.2157,25.1766,24.1554,25.1574,2152512468.3623695,9950552462.372822
2023-08-13,2023-08-14,24.9355,24.9396,24.2625,24.2625,1139500125.0627177,9979803921.885017
2023-08-12,2023-08-13,24.6113,25.1283,24.4077,24.9399,2463600036.432056,9962254088.790941
2023-08-11,2023-08-12,24.6665,24.863,24.362,24.588,4742469578.369338,9935709258.27526
2023-08-10,2023-08-11,24.3908,24.8183,24.1755,24.6338,1899366208.989547,9892556631.174215
2023-08-09,2023-08-10,24.3272,24.9641,24.2074,24.4186,2438467615.0592337,9908522924.247387
2023-08-08,2023-08-09,23.1166,24.7407,23.0322,24.1992,1975718117.8885016,9540115353.996515
2023-08-07,2023-08-08,23.5979,23.9575,22.4983,23.0708,2595238197.9477353,9365523412.874565
2023-08-06,2023-08-07,23.2528,24.0936,23.215,23.5697,3094687774.247387,9567997577.68641
2023-08-05,2023-08-06,22.7668,23.2543,22.5185,23.2543,2498644500.1713285,9232669499.573427
2023-08-04,2023-08-05,22.6926,23.52,22.5195,22.804,2197004093.076655,9283482120.808363
2023-08-03,2023-08-04,23.1164,23.3679,22.5753,22.6672,1872179796.968641,9272705059.672474
2023-08-02,2023-08-03,24.0608,24.2269,23.0194,23.1638,1813979788.6794424,9509868176.261324
2023-08-01,2023-08-02,23.7657,23.9843,23.0887,23.9843,3219851633.285714,9505261130.22648
2023-07-31,2023-08-01,24.2197,24.7755,23.6461,23.782,2283694731.683099,9819663414.619719
2023-07-30,2023-07-31,25.2137,25.2395,23.9858,24.3025,1053664378.8536586,10059727741.756098
2023-07-29,2023-07-30,24.8291,25.4153,24.8291,25.2325,1298208882.543554,10135946295.174215
2023-07-28,2023-07-29,25.095,25.5301,24.597,24.8791,1868510947.8118467,10056229045.013937
2023-07-27,2023-07-28,25.1691,25.5442,24.7359,25.1358,3269873263.630662,10135798390.480837
2023-07-26,2023-07-27,23.3054,25.518,23.2368,25.1912,2188134033.1114984,9759733923.700348
2023-07-25,2023-07-26,23.415,23.5735,22.9114,23.3321,1832467695.0940766,9377303802.703833
2023-07-24,2023-07-25,24.7343,24.8547,23.0979,23.4459,1686712219.2682927,9624659350.94425
2023-07-23,2023-07-24,24.4822,25.2341,24.3036,24.82,1801625853.456446,9973014284.432056
2023-07-22,2023-07-23,25.5646,25.9714,24.3325,24.5421,1764781616.815331,10314894669.874565
2023-07-21,2023-07-22,25.3562,25.9794,25.1289,25.6027,2515255043.5400696,10255955219.519163
2023-07-20,2023-07-21,26.3625,27.3708,25.1888,25.3756,3132963667.7979093,10612639861.013937
