Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-08,2023-12-09,172.5247,175.0644,171.9955,174.0547,152250143.22996515,3183794222.898955
2023-12-07,2023-12-08,169.9207,176.3121,169.8838,172.6768,144146605.15679443,3191196718.425087
2023-12-06,2023-12-07,170.9076,173.4872,169.985,170.1862,149525801.8641115,3150254810.965157
2023-12-05,2023-12-06,169.6917,171.6967,167.7206,170.7128,146179014.98954704,3115437281.773519
2023-12-04,2023-12-05,171.4902,173.1072,166.6233,169.8835,124413460.20557491,3119972351.529617
2023-12-03,2023-12-04,171.9573,172.4854,169.7924,171.3505,104700492.85714285,3149445914.616725
2023-12-02,2023-12-03,171.1337,172.9479,169.912,171.933,108842590.73170732,3147938366.0139375
2023-12-01,2023-12-02,169.2899,171.1859,168.9746,170.9204,107813603.88811189,3126507219.678322
2023-11-30,2023-12-01,165.7636,170.0442,165.6482,169.4009,107532389.06944445,3085094711.357639
2023-11-29,2023-11-30,167.1509,167.3208,164.7788,165.6909,110737665.2326389,3051441045.4652777
2023-11-28,2023-11-29,165.3427,167.3796,163.8045,167.1926,109574639.16666667,3040119934.15625
2023-11-27,2023-11-28,169.0226,169.7448,165.0026,165.3562,101693013.10452962,3068647959.062718
2023-11-26,2023-11-27,171.3563,172.1608,168.1041,169.182,82816437.29473685,3133425822.894737
2023-11-25,2023-11-26,169.5991,172.1107,169.2688,171.2679,103951439.19163764,3133560397.4808364
2023-11-24,2023-11-25,166.0203,170.999,165.7988,170.1713,107353562.95470384,3090200916.2229967
2023-11-23,2023-11-24,163.6854,167.6767,163.3709,165.9028,114892376.77700348,3043218084.034843
2023-11-22,2023-11-23,159.1782,163.907,158.778,163.5623,126155074.36585365,2981218608.414634
2023-11-21,2023-11-22,163.1123,165.7743,158.8194,159.7561,101903896.22299652,3006411666.1707315
2023-11-20,2023-11-21,163.877,164.9788,162.0086,163.2202,78817541.86062717,3009588111.2891984
2023-11-19,2023-11-20,160.5992,164.2415,159.7926,164.0437,76127750.32404181,2965923343.041812
2023-11-18,2023-11-19,162.4668,162.7554,159.2404,160.963,124111514.12195122,2954516866.554007
2023-11-17,2023-11-18,160.9131,166.8389,160.641,162.5601,159705719.16376308,2992587550.3937283
2023-11-16,2023-11-17,160.9893,162.9748,157.5879,160.923,150716731.28222996,2955027041.2125435
2023-11-15,2023-11-16,163.5167,166.385,159.3326,161.0081,112568425.8641115,3016019277.4843206
2023-11-14,2023-11-15,162.4887,166.4596,159.987,163.3986,117777755.16724738,3007206367.0592337
2023-11-13,2023-11-14,171.2007,172.7126,163.1144,163.1503,113997186.58536585,3091177674.804878
2023-11-12,2023-11-13,169.2773,171.3913,166.7823,170.9411,123835179.78745645,3103113123.390244
2023-11-11,2023-11-12,170.9136,173.5852,168.0485,169.0669,137618171.82578397,3126626083.9303136
2023-11-10,2023-11-11,170.1768,173.6783,167.5037,171.1229,176685001.7770035,3141402129.71777
2023-11-09,2023-11-10,167.2323,170.9995,160.1038,170.3105,147146442.13240418,3073758257.6480837
2023-11-08,2023-11-09,166.2559,167.6231,164.4356,167.4327,146730832.55052266,3048209656.512195
2023-11-07,2023-11-08,165.0777,168.2036,162.195,166.2717,119573792.26480836,3038696083.2090592
2023-11-06,2023-11-07,169.0196,169.6052,164.7725,165.4862,84101898.07665505,3056645965.630662
2023-11-05,2023-11-06,168.5193,170.7585,167.4861,169.5692,77587235.10801394,3103700016.5400696
2023-11-04,2023-11-05,170.8733,171.6281,165.5213,168.3133,95497968.38675958,3103906806.8501744
2023-11-03,2023-11-04,170.6714,173.0569,168.6011,170.9173,144111023.26132405,3139351971.1358886
2023-11-02,2023-11-03,171.1644,172.3879,167.9394,170.8926,155479289.8641115,3130978639.3972125
2023-11-01,2023-11-02,171.8796,172.6479,169.4897,171.4516,113857106.97212544,3136040975.7770033
2023-10-31,2023-11-01,173.2865,173.8024,169.1573,172.1447,132747667.87456445,3146638820.3101044
2023-10-30,2023-10-31,174.7395,174.8904,165.1036,172.6807,200696009.8292683,3133215250.4738674
2023-10-29,2023-10-30,162.0971,174.4428,160.3327,174.4428,86633131.3728223,3003473634.839721
2023-10-28,2023-10-29,161.0682,162.8327,159.9071,162.3967,85930104.75958188,2968130602.567944
2023-10-27,2023-10-28,159.7036,161.1964,157.0976,160.9863,114913457.40418118,2933268122.4843206
2023-10-26,2023-10-27,160.1675,162.6173,157.0194,159.691,127385926.79649124,2939086945.610526
2023-10-25,2023-10-26,158.1608,160.6444,154.7193,160.0398,133280080.11498258,2901891530.8292685
2023-10-24,2023-10-25,161.6178,163.7321,156.5094,158.0385,156739003.09059232,2929204393.30662
2023-10-23,2023-10-24,159.4538,161.6756,157.318,160.9971,94642621.40418118,2916612668.2020907
2023-10-22,2023-10-23,158.2741,160.2091,156.7555,159.2687,78024545.42857143,2905734887.0139375
2023-10-21,2023-10-22,155.0685,158.3299,154.6132,158.1963,80397820.79442509,2869981558.4599304
2023-10-20,2023-10-21,153.0532,157.4091,152.2355,155.0151,99303344.18815331,2841683961.919861
2023-10-19,2023-10-20,150.1991,152.6969,147.4823,152.6969,89458088.64111498,2772541851.3623695
2023-10-18,2023-10-19,151.1139,152.7579,150.1645,150.1912,81347298.83275262,2776920613.2578397
